Designator,Mid X,Mid Y,Rotation,Layer
R53,125.779,-148.336,0.0,top
R54,125.779,-151.4856,0.0,top
R55,108.0,-130.0,270.0,top
R56,117.0,-130.0,270.0,top
R57,111.0,-130.0,270.0,top
R58,114.0,-130.0,270.0,top
R59,86.3092,-140.8684,90.0,top
R6,67.3589,-52.578,0.0,top
R60,196.4436,-146.2551,90.0,top
R61,170.688,-121.666,90.0,top
R62,179.9844,-121.666,90.0,top
R63,176.8348,-121.666,90.0,top
R64,173.7868,-121.666,90.0,top
R65,187.452,-119.02079,0.0,top
R66,187.4755,-120.92579,0.0,top
R67,187.4755,-122.83079,0.0,top
R68,187.452,-128.41879,180.0,top
R69,187.452,-126.51379,180.0,top
R7,63.6524,-52.578,0.0,top
R70,187.452,-124.60879,180.0,top
R71,200.279,-124.968,270.0,top
R72,198.374,-124.968,270.0,top
R73,198.624,-131.3242,180.0,top
R74,198.624,-133.0006,180.0,top
R75,187.4988,-134.931,0.0,top
R76,208.4324,-127.3575,90.0,top
R77,190.0936,-153.3144,0.0,top
R78,190.0936,-150.2156,0.0,top
R79,190.0936,-147.1168,0.0,top
R8,71.9836,-36.9316,0.0,top
R80,190.0936,-143.9672,0.0,top
R81,224.8916,-151.5872,90.0,top
R82,155.194,-148.5881,270.0,top
R83,158.5468,-148.59,270.0,top
R84,161.8488,-148.59,270.0,top
R85,165.1,-148.5392,270.0,top
R86,157.6324,-53.594,90.0,top
R87,154.2288,-53.594,90.0,top
R88,150.7236,-53.5451,90.0,top
R89,147.6248,-53.5451,90.0,top
R9,68.2752,-36.9316,0.0,top
R90,140.356253,-118.539553,90.0,top
R91,135.255,-118.6199,90.0,top
R92,130.0734,-118.5945,90.0,top
R93,142.235853,-118.539553,90.0,top
R94,137.1346,-118.6199,90.0,top
R95,132.0546,-118.5945,90.0,top
R96,233.4768,-88.2904,270.0,top
R97,234.3912,-85.3948,0.0,top
R98,234.7976,-109.728,0.0,top
R99,234.7468,-113.3856,0.0,top
RS1,87.5284,-46.482,0.0,top
RS2,96.4952,-46.482,0.0,top
SCREEN1,211.4804,-138.43,180.0,top
SD1,60.2084,-133.9272,270.0,top
ST_JTAG1,102.4636,-58.2676,270.0,top
ST_RESET1,75.7428,-115.4684,90.0,top
SW1,98.044,-70.091,90.0,top
T1,54.0,-34.0,0.0,top
T2,54.0,-151.0,0.0,top
T3,236.0,-34.0,0.0,top
T4,236.0,-151.0,0.0,top
U1,65.0748,-41.4528,0.0,top
U10,79.756,-72.0852,0.0,top
U11,76.6572,-61.214,0.0,top
U12,88.5,-94.0,0.0,top
U13,161.6604,-130.9478,90.0,top
U14,89.0,-131.5,90.0,top
U15,193.294,-123.952,0.0,top
U16,193.274,-133.2422,270.0,top
U17,202.2856,-140.0048,0.0,top
U2,65.0748,-49.4284,0.0,top
U3,70.5104,-34.1376,0.0,top
U4,96.4692,-40.5892,90.0,top
U5,87.5284,-40.7085,90.0,top
U6,117.9068,-40.4368,270.0,top
U7,126.0348,-44.8056,90.0,top
U8,132.9436,-44.8056,90.0,top
U9,140.208,-44.8056,90.0,top
USB1,54.6,-77.0,270.0,top
USB2,54.6,-90.0,270.0,top
X1,129.5146,-34.5298,180.0,top
X2,70.2564,-68.7556,90.0,top
X3,74.0156,-99.8728,90.0,top
X4,164.7952,-140.0934,180.0,top
X5,93.2688,-140.716,180.0,top
